Scrape_Timestamp,Days_to_Departure,Departure_Date,Day_of_Week,Departure_Time,Arrival_Time,Source_City,Destination_City,Airline,Flight_Number,Total_Duration_Mins,Number_of_Stops,CO2_Emissions_Grams,Price_Level,Flight_Category,Price_INR
2026-06-02 17:05:50,1,2026-06-03,Wednesday,8:45 PM,3:00 PM,BOM,STV,"Air India, Air India Express",LR 176,1095,1,176000,,Best,27154
2026-06-02 17:05:50,1,2026-06-03,Wednesday,8:45 PM,3:00 PM,BOM,STV,"Air India, Air India Express",LR 176,1095,1,176000,,Cheapest,27154
2026-06-02 17:06:08,3,2026-06-05,Friday,10:10 AM,9:05 PM,BOM,STV,"Air India, Air India Express",EL 331,655,2,331000,,Best,
2026-06-02 17:06:08,3,2026-06-05,Friday,10:10 AM,9:05 PM,BOM,STV,"Air India, Air India Express",EL 331,655,2,331000,,Cheapest,
2026-06-02 17:06:18,7,2026-06-09,Tuesday,9:00 AM,9:05 PM,BOM,STV,"Air India, Air India Express",EL 338,725,2,338000,,Best,
2026-06-02 17:06:18,7,2026-06-09,Tuesday,9:00 AM,9:05 PM,BOM,STV,"Air India, Air India Express",EL 338,725,2,338000,,Cheapest,
2026-06-02 17:06:31,14,2026-06-16,Tuesday,9:00 AM,9:05 PM,BOM,STV,"Air India, Air India Express",EL 338,725,2,338000,,Best,
2026-06-02 17:06:31,14,2026-06-16,Tuesday,9:00 AM,9:05 PM,BOM,STV,"Air India, Air India Express",EL 338,725,2,338000,,Cheapest,
2026-06-02 17:08:02,1,2026-06-03,Wednesday,4:30 AM,2:10 PM,BOM,VTZ,IndiGo,LR 147,580,1,147000,High,Best,16733
2026-06-02 17:08:02,1,2026-06-03,Wednesday,4:30 AM,2:10 PM,BOM,VTZ,IndiGo,LR 147,580,1,147000,High,Cheapest,16733
2026-06-02 17:08:12,3,2026-06-05,Friday,12:30 AM,8:25 AM,BOM,VTZ,IndiGo,YD 109,475,1,109000,,Best,14436
2026-06-02 17:08:12,3,2026-06-05,Friday,12:30 AM,8:25 AM,BOM,VTZ,IndiGo,YD 109,475,1,109000,,Cheapest,14436
2026-06-02 17:08:22,7,2026-06-09,Tuesday,6:30 AM,1:20 PM,BOM,VTZ,IndiGo,JB 159,410,2,159000,High,Best,14503
2026-06-02 17:08:22,7,2026-06-09,Tuesday,6:30 AM,1:20 PM,BOM,VTZ,IndiGo,JB 159,410,2,159000,High,Cheapest,14503
2026-06-02 17:08:32,14,2026-06-16,Tuesday,6:30 AM,1:20 PM,BOM,VTZ,IndiGo,JB 159,410,2,159000,High,Best,14876
2026-06-02 17:08:32,14,2026-06-16,Tuesday,6:30 AM,1:20 PM,BOM,VTZ,IndiGo,JB 159,410,2,159000,High,Cheapest,14876
2026-06-02 17:08:45,30,2026-07-02,Thursday,2:45 AM,8:25 AM,BOM,VTZ,IndiGo,YD 108,340,1,108000,,Best,12823
